symbol,entry_time,entry_price,direction,exit_time,exit_price,exit_reason,R_outcome
ATOMUSDT,2026-01-16T18:45:00+00:00,2.439,SHORT,2026-01-16T20:30:00+00:00,2.4605925580376087,SL,-1.0
APTUSDT,2026-01-16T19:00:00+00:00,1.758,SHORT,2026-01-16T19:30:00+00:00,1.7713047060918572,SL,-1.0
TIAUSDT,2026-01-16T19:00:00+00:00,0.5488,SHORT,2026-01-16T19:30:00+00:00,0.5544675402756307,SL,-1.0
LTCUSDT,2026-01-17T11:00:00+00:00,74.74,SHORT,2026-01-17T14:30:00+00:00,74.74,TP1,0.75
OPUSDT,2026-01-17T14:30:00+00:00,0.3539,LONG,2026-01-17T16:30:00+00:00,0.34838445271484236,SL,-1.0
TIAUSDT,2026-01-17T15:30:00+00:00,0.5859,LONG,2026-01-17T16:30:00+00:00,0.5802160194891985,SL,-1.0
DOTUSDT,2026-01-17T15:45:00+00:00,2.2075,LONG,2026-01-17T16:30:00+00:00,2.1896744747542045,SL,-1.0
ATOMUSDT,2026-01-17T17:45:00+00:00,2.579,LONG,2026-01-17T21:00:00+00:00,2.563059677878901,SL,-1.0
LTCUSDT,2026-01-17T18:00:00+00:00,74.77,LONG,2026-01-18T01:30:00+00:00,74.36387212997586,SL,-1.0
ADAUSDT,2026-01-17T19:00:00+00:00,0.4009,LONG,2026-01-17T21:00:00+00:00,0.39821258945751886,SL,-1.0
ARBUSDT,2026-01-18T00:00:00+00:00,0.21883,LONG,2026-01-18T01:45:00+00:00,0.21448042598344677,SL,-1.0
TIAUSDT,2026-01-18T09:15:00+00:00,0.5648,SHORT,2026-01-18T14:15:00+00:00,0.5648,TP1,0.75
DOGEUSDT,2026-01-18T15:45:00+00:00,0.13652,SHORT,2026-01-18T18:15:00+00:00,0.13707904343614372,SL,-1.0
APTUSDT,2026-01-19T04:30:00+00:00,1.6296,SHORT,2026-01-19T12:45:00+00:00,1.5773385832199045,TP2,2.0
OPUSDT,2026-01-19T04:45:00+00:00,0.309,SHORT,2026-01-19T08:45:00+00:00,0.3128557854870518,SL,-1.0
NEARUSDT,2026-01-19T06:00:00+00:00,1.5789,SHORT,2026-01-19T08:30:00+00:00,1.5789,TP1,0.75
ADAUSDT,2026-01-19T06:15:00+00:00,0.3628,SHORT,2026-01-19T08:15:00+00:00,0.3656065415162707,SL,-1.0
BNBUSDT,2026-01-19T06:15:00+00:00,923.5,SHORT,2026-01-19T08:15:00+00:00,927.7267705854209,SL,-1.0
DOTUSDT,2026-01-19T06:15:00+00:00,1.9663,SHORT,2026-01-19T08:15:00+00:00,1.9850992188547683,SL,-1.0
ATOMUSDT,2026-01-19T06:30:00+00:00,2.369,SHORT,2026-01-19T08:45:00+00:00,2.3917244658864463,SL,-1.0
XRPUSDT,2026-01-19T06:30:00+00:00,1.953,SHORT,2026-01-19T08:15:00+00:00,1.9683817920022717,SL,-1.0
